"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://automoyka.ua/catalog/beskontaktnaya_moyka/","https://automoyka.ua/catalog/beskontaktnaya_moyka/","text/html; charset=UTF-8","200","OK","Indexable","","Активная пена для бесконтактной мойки - Автомойка.юа","52","535","Купить качественную химию для автомойки. Активная пена для бесконтактной мойки — эффективное и безопасное очищение вашего авто.","127","926","","0","Активная пена","13","","0","Эффективность и безопасность: активная пена для бесконтактной мойки","67","","0","index, follow","","","","","","","","","591582","57716","57716","22,491","","2526","837","3,018","100,000","Very Easy","3,475","0","2","","35","5","0","8,200","320","108","0","3","3","0","","","","","2d068df5aa5fcf511d78bfaa1d1083a9","0,266","Mon, 10 Nov 2025 09:40:33 GMT","","","","ru","1.1","","","","","","https://automoyka.ua/catalog/beskontaktnaya_moyka/","2025-11-17 15:56:41"
"https://mons.in.ua/ru/poperednia-myika/","https://mons.in.ua/ru/poperednia-myika/","text/html; charset=UTF-8","200","OK","Indexable","","Мойка автомобиля снаружи и изнутри | Купить пену для мойки авто - MONS","70","707","Профессиональные моющие средства для автомоек и для мойки автомобилей. Kenotek и Nerta. Активная пена для предварительной мойки автомобилей.","140","1025","","0","Активная пена для бесконтактной мойки","37","","0","","0","","0","all","","","https://mons.in.ua/ru/poperednia-myika/","","","","","","134406","21939","21939","8,549","","402","138","2,913","100,000","Very Easy","2,417","0","2","","13","2","0","3,280","97","49","0","2","2","0","","","","","83dc87634b77b884c749ccb6c781fa9","0,631","","","","","ru","1.1","","","","","","https://mons.in.ua/ru/poperednia-myika/","2025-11-17 15:56:34"
"https://venor.ua/ru/aktivnaya-pena-dlya-bezkontaktnoy-moyki","https://venor.ua/ru/aktivnaya-pena-dlya-bezkontaktnoy-moyki","text/html; charset=windows-1251","200","OK","Indexable","","Пена для моек, купить активную пену для бесконтактной мойки, пена для портальных моек VENOR в Украине","101","1027","","0","0","","0","Пена для моек","13","","0","","0","","0","index,follow","","","","","","","","","19728","4152","4152","1,618","","238","92","2,587","100,000","Very Easy","8,691","0","1","","6","1","0","1,640","52","27","0","1","1","0","","","","","d2f508f50d60079bb83d0480a03f746c","0,079","","","","","ru-UA","1.1","","","","","","https://venor.ua/ru/aktivnaya-pena-dlya-bezkontaktnoy-moyki","2025-11-17 15:56:30"
"https://drivecare.com.ua/ru/pena-dlia-moiky-avto-ffektyvnyi-sposob-ukhoda-za-avtomobylem/","https://drivecare.com.ua/ru/pena-dlia-moiky-avto-ffektyvnyi-sposob-ukhoda-za-avtomobylem/","text/html; charset=utf-8","200","OK","Indexable","","Пена для мойки авто: эффективный способ ухода за автомобилем","60","625","","0","0","","0","Пена для мойки авто: эффективный способ ухода за автомобилем","60","","0","Что такое пена для мойки авто?","30","Преимущества использования пены для мойки авто","46","max-image-preview:large","","","https://drivecare.com.ua/ru/pena-dlia-moiky-avto-ffektyvnyi-sposob-ukhoda-za-avtomobylem/","","","","","","229412","25703","25703","10,016","","1080","290","3,724","100,000","Very Easy","4,931","0","2","","2","1","0","1,640","151","118","0","8","6","0","","","","","d0a1eeef18210615eca95b15d970b017","0,327","","","","","ru","1.1","","","","","","https://drivecare.com.ua/ru/pena-dlia-moiky-avto-ffektyvnyi-sposob-ukhoda-za-avtomobylem/","2025-11-17 15:56:38"
"https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-premium-pure-vida-500-h-kontsentrat/","https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-premium-pure-vida-500-h-kontsentrat/","text/html; charset=UTF-8","200","OK","Indexable","","Активная пена для мойки авто Premium Pure Vida 500 г концентрат","63","627","Купить Активная пена для мойки авто Premium Pure Vida 500 г концентрат в магазине Pratta.ua ✅Гарантия качества от производителя ☎+38 (063) 344-45-73 Заказать ➤Доставка по всей Украине","183","1265","","0","Активная пена для мойки авто Premium Pure Vida 500 г концентрат","63","","0","","0","","0","all","","","https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-premium-pure-vida-500-h-kontsentrat/","","","","","","122849","28451","28451","11,087","","811","210","3,862","100,000","Very Easy","5,953","0","2","","18","1","0","1,640","63","36","0","4","4","0","","","","","7512d85c57d5cd0f754cebdf03ee89f6","0,470","","","","","ru","1.1","","","","","","https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-premium-pure-vida-500-h-kontsentrat/","2025-11-17 15:56:34"
"https://shop.cardetaillab.ua/category/khimiya/tovar_aktivnaya-pena","https://shop.cardetaillab.ua/category/khimiya/tovar_aktivnaya-pena","text/html; charset=UTF-8","200","OK","Indexable","","Бесконтактная пена для мойки авто — купить в интернет-магазине CarDetailLab","75","744","Покупайте бесконтактную пену для мойки авто в интернет-магазине товаров для детейлинга CarDetailLab. Широкий ассортимент, мировые бренды. Доставка по всей Украине.","163","1163","","0","Бесконтактная пена для мойки авто","33","","0","Активная пена для бесконтактной мойки — эффект гарантирован!","60","","0","","","","","","","","","","614288","61521","61521","23,974","","829","293","2,829","100,000","Very Easy","4,023","0","2","","23","5","0","8,200","886","340","0","17","7","0","","","","","1f6186a679162ba4567fd0b72b0d3d47","0,408","","","","","ru","1.1","","","","","","https://shop.cardetaillab.ua/category/khimiya/tovar_aktivnaya-pena","2025-11-17 15:56:32"
"https://tricolor.com.ua/avtomobilnaya-himiya/tip-aktivnaya-pena/","https://tricolor.com.ua/avtomobilnaya-himiya/tip-aktivnaya-pena/","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,179","","https://tricolor.com.ua/ua/avtomobilnaya-himiya/tip-aktivnaya-pena/","HTTP Redirect","","","1.1","","","","","","https://tricolor.com.ua/avtomobilnaya-himiya/tip-aktivnaya-pena/","2025-11-17 15:56:31"
"https://avtozvuk.ua/shampuni/c1258/884=76067","https://avtozvuk.ua/shampuni/c1258/884=76067","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,086","","","","","","1.1","","","","","","https://avtozvuk.ua/shampuni/c1258/884=76067","2025-11-17 15:56:39"
"https://tiptoppro.com/ru/aktivnaya-pena/","https://tiptoppro.com/ru/aktivnaya-pena/","text/html; charset=UTF-8","200","OK","Indexable","","Купить автохимия  Активная Пена в Украине","41","414","Купить активную пену для бесконтактной мойки машин в Украине от компании TIP TOP Chemicals. Для получения дополнительной информации и заказа звоните +38 068 56 56 555","166","1192","","0","Активная Пена - купить в Украине","32","","0","","0","","0","all","","","https://tiptoppro.com/ru/aktivnaya-pena/","https://tiptoppro.com/ru/aktivnaya-pena/filter/page=2/","","","","","190059","26460","26460","10,311","","471","169","2,787","100,000","Very Easy","1,575","0","2","","15","3","0","4,920","98","42","0","6","6","0","","","","","a6cdc682dfa768b2a7ff284f0878eedd","0,792","","","","","ru","1.1","","","","","","https://tiptoppro.com/ru/aktivnaya-pena/","2025-11-17 15:56:32"
"https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-extra-pure-vida-22-kh-kontsentrat/","https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-extra-pure-vida-22-kh-kontsentrat/","text/html; charset=UTF-8","200","OK","Indexable","","Активная пена для мойки авто Extra Pure Vida 22 кг концентрат","61","591","Купить Активная пена для мойки авто Extra Pure Vida 22 кг концентрат в магазине Pratta.ua ✅Гарантия качества от производителя ☎+38 (063) 344-45-73 Заказать ➤Доставка по всей Украине","181","1240","","0","Активная пена для мойки авто Extra Pure Vida 22 кг концентрат","61","","0","","0","","0","all","","","https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-extra-pure-vida-22-kh-kontsentrat/","","","","","","118575","27513","27513","10,721","","730","185","3,946","100,000","Very Easy","5,491","0","2","","18","1","0","1,640","63","36","0","4","4","0","","","","","a64cbb4f7b5fdbc325d63af026d2ea1","0,557","","","","","ru","1.1","","","","","","https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-extra-pure-vida-22-kh-kontsentrat/","2025-11-17 15:56:34"
