"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://avtogrand.com.ua/avtohimiya/omyvateli-stekla/omivately-stekla-letniy-verylube-kontsentrat-antimoshka-20-ml","https://avtogrand.com.ua/avtohimiya/omyvateli-stekla/omivately-stekla-letniy-verylube-kontsentrat-antimoshka-20-ml","text/html; charset=utf-8","200","OK","Indexable","","Омыватель стекла летний 20 мл (концентрат) Антимошка Verylube  купить по выгодной цене ► Avtogrand","98","977","Омыватель стекла летний 20 мл (концентрат) Антимошка Verylube  ☑ Лучшая цена в интернет-магазине ☑ Оперативная доставка ✈ Гарантия качества","139","975","Омыватель стекла летний 20 мл (концентрат) Антимошка Verylube","61","Омыватель стекла летний 20 мл (концентрат) Антимошка Verylube","61","22.00 грн.","10","Написать отзыв","14","","","","https://avtogrand.com.ua/avtohimiya/omyvateli-stekla/omivately-stekla-letniy-verylube-kontsentrat-antimoshka-20-ml","","","","","","538784","538784","538784","209,955","","981","291","3,371","100,000","Very Easy","5,364","0","2","","0","0","0","0,000","1678","1577","0","0","0","0","","","","","4c35ed0aa0394dce6c5104a9b3d2f8b0","1,180","","","","","ru","1.1","","","","","","https://avtogrand.com.ua/avtohimiya/omyvateli-stekla/omivately-stekla-letniy-verylube-kontsentrat-antimoshka-20-ml","2025-11-17 13:27:32"
"https://drossel.ua/article/03_2023/679.html","https://drossel.ua/article/03_2023/679.html","text/html; charset=windows-1251","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,148","","","","","","1.1","","","","","","https://drossel.ua/article/03_2023/679.html","2025-11-17 13:27:31"
"https://detailshop.ua/ru/g13574552-naruzhnaya-trehfaznaya-mojka","https://detailshop.ua/ru/g13574552-naruzhnaya-trehfaznaya-mojka","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,151","","","","","","1.1","","","","","","https://detailshop.ua/ru/g13574552-naruzhnaya-trehfaznaya-mojka","2025-11-17 13:27:32"
"https://pratta.ua/ru/omyvach-skla-litnii-pure-vida-antymoshka-4-l-lymonnyi","https://pratta.ua/ru/omyvach-skla-litnii-pure-vida-antymoshka-4-l-lymonnyi","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,278","","https://pratta.ua/ru/omyvach-skla-litnii-pure-vida-antymoshka-4-l-lymonnyi/","HTTP Redirect","","","1.1","","","","","","https://pratta.ua/ru/omyvach-skla-litnii-pure-vida-antymoshka-4-l-lymonnyi","2025-11-17 13:27:29"
"https://sata-group.com.ua/g53256249-aktivnaya-pena-dlya","https://sata-group.com.ua/g53256249-aktivnaya-pena-dlya","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","299","299","299","0,117","","0","","","","","0,000","0","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,084","","https://sata-group.com.ua/ua/g53256249-aktivnaya-pena-dlya","HTTP Redirect","","","1.1","","","","","","https://sata-group.com.ua/g53256249-aktivnaya-pena-dlya","2025-11-17 13:27:28"
"https://tabletki.ua/антимошка/1028251","https://tabletki.ua/антимошка/1028251","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,084","","","","","","1.1","","","","","","https://tabletki.ua/%D0%B0%D0%BD%D1%82%D0%B8%D0%BC%D0%BE%D1%88%D0%BA%D0%B0/1028251","2025-11-17 13:27:26"
"https://sonax-ua.com/product/ochistitel-sledov-nasekomyh-antimoshka-sonax-insekten-entferner-500-ml","https://sonax-ua.com/product/ochistitel-sledov-nasekomyh-antimoshka-sonax-insekten-entferner-500-ml","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,747","","https://sonax-ua.com/product/ochistitel-sledov-nasekomyh-antimoshka-sonax-insekten-entferner-500-ml/","HTTP Redirect","","","1.1","","","","","","https://sonax-ua.com/product/ochistitel-sledov-nasekomyh-antimoshka-sonax-insekten-entferner-500-ml","2025-11-17 13:27:26"
"https://artdetailing.com.ua/antimoshka-dlya-avto-carline-insect-remover-5l","https://artdetailing.com.ua/antimoshka-dlya-avto-carline-insect-remover-5l","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","146","146","146","0,057","","0","","","","","0,000","0","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,135","","","","","","1.1","","","","","","https://artdetailing.com.ua/antimoshka-dlya-avto-carline-insect-remover-5l","2025-11-17 13:27:34"
"https://shop.helpix.ua/products/view/fly-off-500ml.html","https://shop.helpix.ua/products/view/fly-off-500ml.html","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,150","","","","","","1.1","","","","","","https://shop.helpix.ua/products/view/fly-off-500ml.html","2025-11-17 13:27:28"
"https://avtobania.com.ua/ru/product/samaya-lucsaya-beskontaktnaya-aktivnaya-pena-migliore-chemistry-powerfull-6-kg_4","https://avtobania.com.ua/ru/product/samaya-lucsaya-beskontaktnaya-aktivnaya-pena-migliore-chemistry-powerfull-6-kg_4","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,152","","","","","","1.1","","","","","","https://avtobania.com.ua/ru/product/samaya-lucsaya-beskontaktnaya-aktivnaya-pena-migliore-chemistry-powerfull-6-kg_4","2025-11-17 13:27:32"
