product_id	name	old_categories	new_categories	reason
3508	Гумова Щітка для Видалення Шерсті та Очищення Ворсу з Килимів	477	495	щітка для килимів/салону = детейлінг
3518	Щітка для Глибокого Миття Дисків з Гумовим Наконечником EZ-Style Синя 43 см	477	494	щітка для дисків
3532	Щітка з Жорстким Ворсом для Глибокого Чищення Килимків та Ковроліну	477	495	щітка для килимків = детейлінг
3533	Губка-Аплікатор з Мікрощетиною для Глибокого Чищення Текстилю та Шкіри	477	453	губка-аплікатор
3534	Щітка зі Змішаним Ворсом для Чищення Шкіри 14 см	477	495	щітка для шкіри = детейлінг
3535	Двостороння Гумова Щітка для Видалення Шерсті та Бруду з Текстилю	477	495	щітка для текстилю = детейлінг
3537	Ергономічна Щітка для Чищення Килимів та Текстильної Оббивки	477	495	щітка для килимів/салону = детейлінг
3561	Синтетична Щітка-Скраб для Чищення Килимів та Тканини	477	495	щітка-скраб для салону = детейлінг
3562	Професійна Щітка з Кінського Ворсу для Чищення Шкіри	477	495	щітка для шкіри = детейлінг
3563	Нейлонова Щітка з Короткою Ручкою для Чищення Килимів та Текстилю	477	495	щітка для текстилю = детейлінг
3564	Щітка для Хімчистки Інтер'єру Buff and Shine Multi Purpose Scrub	477	495	щітка для інтер'єру = детейлінг
3571	Рукавиця з Мікрофібрового Флісу для Ручного Миття Авто Синя	477	453	рукавиця
3598	Рукавиця для Миття Авто з Натуральної Овчини	477	453	рукавиця
3616	Губка для Ручного Миття Авто 19x12x7 см	477	453	губка
3617	Крупнопориста Губка для Безпечної Мійки Авто	477	453	губка
3618	Жорстка Щітка для Литих Дисків Vikan 65x325 мм	477	494	щітка для дисків Vikan
3635	Двостороння Нейлонова Щітка для Чищення Важкодоступних Місць в Салоні	477	495	щітка для салону = детейлінг
3636	Двостороння Рукавиця з Мікрофібри для Миття Кузова та Дисків	477	453	рукавиця
3637	Щітка з Натуральним Кінським Ворсом для Делікатного Чищення Шкіри та Вінілу	477	495	щітка для шкіри = детейлінг
3642	Детейлінг-Пензель з Синтетичним Ворсом для Важкодоступних Місць 25 см	477	495	детейлінг-пензель
3659	Ультрам'який Детейлінг-Пензель для Вентиляційних Решіток та Делікатних Поверхонь Vent Duster	477	495	детейлінг-пензель для вентиляції
3660	Детейлінг-Пензель з Натуральним Ворсом для Делікатного Чищення Салону	477	495	детейлінг-пензель для салону
3661	Універсальний Детейлінг-Пензель з М'яким Ворсом для Інтер'єру та Екстер'єру	477	495	детейлінг-пензель
3662	Жорстка Щітка-Пензель для Глибокого Очищення Важкодоступних Місць	477	495	щітка-пензель
3674	Кислотостійкий Детейлінг-Пензель для Миття Двигуна та Пройомів	477	495	детейлінг-пензель
3676	Хімстійка Нейлонова Щітка для Чищення Шин та Гумових Килимків	477	494	щітка для шин
3689	Широка Мідна Щітка для Глибокого Чищення Шин W.S.W.	477	494	мідна щітка для шин
3690	ПВХ Щітка з Короткою Ручкою для Миття Коліс та Двигуна	477	494	ПВХ щітка для коліс
3691	Щітка з Мікрофібри для Глибокого Миття Спиць та Ободів Дисків	477	494	щітка для дисків
3738	Рукавиця для Миття Авто з Полівововни POLYWOOL	477	453	рукавиця
3749	Щітка для Колісних Дисків з М'якими Волокнами	477	494	щітка для дисків
3755	ПВХ Щітка з Довгою Ручкою для Миття Коліс, Арок та Двигуна	477	494	ПВХ щітка для коліс/арок
3860	Рукавиця для Миття Авто з Мікрофібри Жовта	477	453	рукавиця
3861	Плюшева Щітка з Синтетичної Вовни для Миття Дисків Розмір L	477	494	щітка для дисків
3902	Двостороння Губка-Скраб для Миття Авто та Видалення Комах DUO	477	453	губка-скраб
3914	Рукавиця для Миття Авто з Двох Типів Мікрофібри	477	453	рукавиця
3967	Ультрам'яка Щітка-Пензель для Делікатного Чищення Пилу в Салоні	477	495	щітка-пензель для салону
3971	Щітка з Натуральним Кінським Ворсом для Делікатного Чищення Шкіри та Пластику	477	495	щітка для шкіри = детейлінг
3982	Рукавиця з Довгим Ворсом з Мікрофібри для Миття Колісних Дисків	477	453	рукавиця
3983	Жорстка Щітка з Натурального Ворсу Tampico для Чищення Дисків 37 см	477	494	Tampico щітка для дисків
3988	Щітка для Миття Дисків з Довгим Ворсом Vikan	477	494	Vikan щітка для дисків
3989	Гнучка Довга Щітка для Миття Двигуна та Дисків 70 см	477	494	щітка для двигуна/дисків
3990	М'яка Щітка з Натурального Ворсу для Дисків Vikan 65x325 мм	477	494	Vikan щітка для дисків
3992	Жорстка Щітка з Натурального Ворсу Tampico для Чищення Дисків з Короткою Ручкою	477	494	Tampico щітка для дисків
3996	Професійна Щітка з Жорстким Ворсом для Хімчистки Текстилю Vikan 120 мм	477	495	Vikan щітка для хімчистки = детейлінг
3997	Рукавичка-Аплікатор з Мікрощетиною для Глибокого Чищення Шкіри	477	453	рукавичка-аплікатор
3998	Жорстка Щітка з Ворсом Tampico для Хімчистки Шкіри та Пластику	477	495	Tampico щітка для шкіри = детейлінг
4005	Рукавиця для Миття Авто з Мікрофібри Gtechniq WM2	477	453	рукавиця
4011	Щітка Середньої Жорсткості для Глибокого Чищення Дисків та Шин	477	494	щітка для дисків/шин
4243	Рукавиця для Миття Авто з Мікрофібри Чорна	477	453	рукавиця
4248	Мідна Щітка для Глибокого Чищення Шин	477	494	мідна щітка для шин
4264	Щітка з М'яким Ворсом для Делікатного Миття Коліс	477	494	щітка для коліс
4266	Щітка з Мікрофібри для Миття Дисків з Короткою Ручкою	477	494	щітка для дисків
4272	Плюшева Щітка з Синтетичної Вовни для Миття Дисків Розмір S	477	494	щітка для дисків
4273	Плюшева Щітка з Синтетичної Вовни для Миття Дисків Розмір M	477	494	щітка для дисків
4275	Щітка з Натуральним Ворсом та Ергономічною Ручкою для Салону	477	495	щітка для салону = детейлінг
4279	Щітка Середньої Жорсткості для Чищення Дисків Чорна	477	494	щітка для дисків
4281	Ультрам'яка Щітка-Пензель для Пилу та Глянцевих Поверхонь в Салоні Ultra Soft	477	495	щітка-пензель для салону
