3403	3403	13	Універсальний очисник Orange Power (концентрат 1:2) - 500 мл. Ultimate	434
3508	3508	0	Гумова Щітка для Видалення Шерсті та Очищення Ворсу з Килимів	477
3511	3511	12	Полірувальний круг ZviZZer THERMO Pad, grey Ø 160/20/150 mm, сірий, жорсткий	459
3516	3516	0	Рушник для сушіння автомобіля Мікроволокно 60Х80см 600GSM	446
3517	3517	12	Твердий (різальний) полірувальний круг ZviZZer TRAPEZ, червоний [hard]95/25/80	459
3518	3518	0	Щітка для Глибокого Миття Дисків з Гумовим Наконечником EZ-Style Синя 43 см	477
3522	3522	0	Контурний Поролоновий Аплікатор для Чорніння Шин	453
3526	3526	13	Зимовий Омивач Скла -20°C Ultimate Ice Breaker 4 л	418
3530	3530	0	Хімстійкий Тригер-Розпилювач для Пляшок Чорний	447
3531	3531	0	Мікрофібра 40х40 чорна 300 GSM	446
3532	3532	0	Щітка з Жорстким Ворсом для Глибокого Чищення Килимків та Ковроліну	477
3533	3533	0	Губка-Аплікатор з Мікрощетиною для Глибокого Чищення Текстилю та Шкіри	477
3534	3534	0	Щітка зі Змішаним Ворсом для Чищення Шкіри 14 см	477
3535	3535	0	Двостороння Гумова Щітка для Видалення Шерсті та Бруду з Текстилю	477
3537	3537	0	Ергономічна Щітка для Чищення Килимів та Текстильної Оббивки	477
3540	3540	12	Полірувальний пад ZviZZer THERMO Pad, black Ø 90/20/80 mm, чорний, м’який	459
3544	3544	12	Полірувальний круг ZviZZer THERMO Pad, black Ø160/20/150 mm, чорний, м’який	459
3546	3546	12	Гнучка Платформа-Підкладка для Полірувальних Кругів ZviZZer Flexi 150 мм (M14)	459
3548	3548	12	Полірувальний круг ZviZZer THERMO Pad, blue 160/20/150 mm, синій, середньої жорсткості	459
3552	3552	12	Полірувальний круг ZviZZer THERMO Pad, blue Ø 135/20/125 mm, синій, середньої жорсткості	459
3554	3554	11	Gtechniq C5 Wheel Armour – Комплект покриття для колісних дисків	439
3559	3559	0	Набір Детейлінг-Пензлів з Натурального Ворсу (3 шт) для Салону та Кузова	466,477
3560	3560	0	Набір М'яких Нейлонових Щіток на Дриль (4 шт) для Делікатного Чищення Салону	445,477
3561	3561	0	Синтетична Щітка-Скраб для Чищення Килимів та Тканини	477
3562	3562	0	Професійна Щітка з Кінського Ворсу для Чищення Шкіри	477
3563	3563	0	Нейлонова Щітка з Короткою Ручкою для Чищення Килимів та Текстилю	477
3564	3564	0	Щітка для Хімчистки Інтер'єру Buff and Shine Multi Purpose Scrub	477
3565	3565	12	Полірувальний круг ZviZZer THERMO Pad, grey 90/20/80 mm, сірий, жорсткий	459
3568	3568	0	Рушник для сушіння автомобіля з мікрофібри 40Х60см 1200GSM	446
3569	3569	0	Серветка Zvizzer з мікрофібри синя 40*40 cm	446
3570	3570	0	Набір Універсальних Детейлінг-Пензлів зі Штучним Щільним Ворсом (3 шт)	466,477
3571	3571	0	Рукавиця з Мікрофібрового Флісу для Ручного Миття Авто Синя	477
3572	3572	12	Серветка Zvizzer з мікрофібри червона 40*40 cm	446
3573	3573	0	Серветка для скла Gold 36 x 36 cm	446
3580	3580	12	Полірувальний круг ZviZZer THERMO Pad, blue 90/20/80 mm, синій, середньої жорсткості	459
3586	3586	0	Ручний Помповий Пінник для Густої Піни та Хімчистки Салону	447
